slug,nombre_ejercicio,descripcion,beneficios,errores_comunes,precauciones,tipo_ejercicio,musculos_principales,musculos_secundarios,equipamiento_necesario,nivel_recomendado,intensidad,objetivos_principales,ranking_efectividad,etiquetas,variaciones,hsl_link,direct_link,thumbnail_url,preview_url_webp,storage_video
curl-kettlebell,Curl con kettlebell,"De pie o sentado, sujeta una kettlebell por el asa con una o ambas manos, palmas hacia arriba o enfrentadas. Flexiona los codos para elevar la kettlebell hacia los hombros, manteniendo la muñeca estable y los codos pegados al torso. Es clave controlar el peso por su centro de masa y evitar que la muñeca ceda.","[""Desafía los estabilizadores de la muñeca"",""Aumenta fuerza de agarre y antebrazo"",""Introduce variedad al entrenamiento de bíceps""]","[""Dejar que la muñeca se doble"",""Usar impulso con el cuerpo"",""Separar los codos del torso""]","[""Comienza con un peso moderado"",""Mantén la muñeca recta"",""Controla el movimiento en todo momento""]",aislado,Bíceps braquial,"[""Braquial"",""Braquiorradial"",""Antebrazo""]","[""Kettlebell""]","[""Principiante"",""Intermedio"",""Avanzado""]",media,hipertrofia,7,"[""gimnasio"",""brazos""]","[""curl-trx-bandas"",""curl-biceps-martillo"",""curl-biceps-alternado""]",https://vz-cddd003b-54d.b-cdn.net/4805b3c8-c23c-4b13-aeb4-5d8f69b806d5/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/4805b3c8-c23c-4b13-aeb4-5d8f69b806d5,https://vz-cddd003b-54d.b-cdn.net/4805b3c8-c23c-4b13-aeb4-5d8f69b806d5/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/4805b3c8-c23c-4b13-aeb4-5d8f69b806d5/preview.webp?v=1752881951,https://olympo.b-cdn.net/brazos/Curl-Kettlebell.mp4
curl-muneca-barra,Curl de muñeca con barra,"Sentado, apoya los antebrazos sobre los muslos o el banco, dejando las muñecas libres. Sujeta la barra con palmas hacia arriba y flexiona las muñecas para elevar la barra lo más alto posible, luego baja lentamente hasta sentir estiramiento. Mantén los antebrazos inmóviles durante todo el movimiento. Usa pesos ligeros para control y evita el impulso.","[""Fortalece los flexores de la muñeca"",""Mejora fuerza de agarre y antebrazo"",""Ayuda a prevenir lesiones de muñeca""]","[""Levantar los antebrazos"",""No usar todo el rango de movimiento"",""Hacer el movimiento rápido o con impulso""]","[""Usa pesos ligeros"",""Mantén los antebrazos apoyados"",""Realiza el movimiento controlado""]",aislado,Flexores de la muñeca,"[""Músculos intrínsecos de la mano""]","[""Barra recta o Z"",""Discos de peso"",""Banco plano""]","[""Principiante"",""Intermedio"",""Avanzado""]",media,hipertrofia,8,"[""gimnasio"",""antebrazo""]","[""curl-inverso-barra"",""curl-inverso-barra-polea"",""curl-antebrazo-mancuernas""]",https://vz-cddd003b-54d.b-cdn.net/28923627-5841-4856-946c-6f44d5f1b77b/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/28923627-5841-4856-946c-6f44d5f1b77b,https://vz-cddd003b-54d.b-cdn.net/28923627-5841-4856-946c-6f44d5f1b77b/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/28923627-5841-4856-946c-6f44d5f1b77b/preview.webp?v=1752882414,https://olympo.b-cdn.net/brazos/Curl-Muneca-Barra.mp4
curl-polea-barra,Curl de bíceps en polea baja con barra,"De pie frente a una máquina de poleas baja, sostiene una barra con palmas hacia arriba al ancho de hombros. Flexiona los codos para subir la barra hacia los hombros, manteniendo la espalda recta y los codos pegados al torso. Controla el movimiento y aprovecha la tensión constante del cable para aislar el bíceps.","[""Mantiene tensión constante en el bíceps"",""Desarrolla masa y definición"",""Movimiento suave y seguro para articulaciones""]","[""Usar impulso del cuerpo"",""Codos alejados del torso"",""Rango de movimiento incompleto""]","[""Mantén los codos fijos"",""Controla la subida y bajada"",""Asegúrate de que la barra esté bien sujeta""]",aislado,Bíceps braquial,"[""Braquial"",""Braquiorradial"",""Antebrazo""]","[""Máquina de polea"",""Barra recta o Z""]","[""Principiante"",""Intermedio"",""Avanzado""]",media,hipertrofia,9,"[""gimnasio"",""brazos""]","[""curl-polea-cuerda"",""curl-polea-unilateral"",""curl-biceps-barra-recta""]",https://vz-cddd003b-54d.b-cdn.net/5ae78bf3-df53-4415-a614-c89b9bf00497/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/5ae78bf3-df53-4415-a614-c89b9bf00497,https://vz-cddd003b-54d.b-cdn.net/5ae78bf3-df53-4415-a614-c89b9bf00497/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/5ae78bf3-df53-4415-a614-c89b9bf00497/preview.webp?v=1752882456,https://olympo.b-cdn.net/brazos/Curl-Polea-Barra.mp4
curl-polea-cuerda,Curl con cuerda en polea baja,"De pie frente a la polea baja, sostiene una cuerda con palmas enfrentadas. Flexiona los codos para elevar la cuerda hacia los hombros, separando los extremos en la parte superior para una máxima contracción. Mantén los codos fijos y el core activo. Aprovecha la tensión constante para un bombeo intenso.","[""Permite mayor libertad para las muñecas"",""Trabaja eficazmente bíceps y braquial"",""Gran tensión muscular durante todo el movimiento""]","[""Usar demasiado peso y perder la forma"",""Codos alejados del torso"",""No controlar la fase negativa""]","[""Controla el peso y la técnica"",""Mantén los codos cerca del torso"",""Asegura buena sujeción de la cuerda""]",aislado,Bíceps braquial,"[""Braquial"",""Braquiorradial"",""Flexores del antebrazo""]","[""Máquina de polea"",""Cuerda""]","[""Principiante"",""Intermedio"",""Avanzado""]",media,hipertrofia,9,"[""gimnasio"",""brazos""]","[""curl-polea-barra"",""curl-polea-unilateral"",""curl-arana-polea""]",https://vz-cddd003b-54d.b-cdn.net/f9d54581-b308-4880-ba16-9595ac26df07/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/f9d54581-b308-4880-ba16-9595ac26df07,https://vz-cddd003b-54d.b-cdn.net/f9d54581-b308-4880-ba16-9595ac26df07/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/f9d54581-b308-4880-ba16-9595ac26df07/preview.webp?v=1752882510,https://olympo.b-cdn.net/brazos/Curl-Polea-Cuerda.mp4
curl-polea-unilateral,Curl de bíceps unilateral en polea,"De pie o sentado junto a una polea baja, sostiene un asa con una mano, palma hacia arriba. Flexiona el codo llevando el asa hacia el hombro, manteniendo el codo pegado al torso y el core activo. Ideal para trabajar un brazo a la vez y corregir desequilibrios. Aprovecha la tensión constante en todo el rango.","[""Permite máximo aislamiento del bíceps"",""Ayuda a corregir desequilibrios"",""Gran tensión durante todo el movimiento""]","[""Usar el torso o el hombro para ayudar"",""Codo separado del torso"",""Movimiento rápido y descontrolado""]","[""Mantén el codo estable y cerca del cuerpo"",""Controla ambas fases del movimiento"",""Evita rotar el torso""]",aislado,Bíceps braquial,"[""Braquial"",""Braquiorradial"",""Antebrazo"",""Core""]","[""Máquina de polea"",""Asa individual""]","[""Principiante"",""Intermedio"",""Avanzado""]",media,hipertrofia,9,"[""gimnasio"",""brazos""]","[""curl-polea-barra"",""curl-polea-cuerda"",""curl-arana-polea""]",https://vz-cddd003b-54d.b-cdn.net/6903734b-bbab-4fc4-b561-2935fcb73ce3/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/6903734b-bbab-4fc4-b561-2935fcb73ce3,https://vz-cddd003b-54d.b-cdn.net/6903734b-bbab-4fc4-b561-2935fcb73ce3/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/6903734b-bbab-4fc4-b561-2935fcb73ce3/preview.webp?v=1752882561,https://olympo.b-cdn.net/brazos/Curl-Polea-Unilateral.mp4
curl-trx-bandas,Curl con TRX o bandas,"Usando un TRX o bandas, sujeta las agarraderas o extremos con las palmas hacia arriba o neutras. Inclina tu cuerpo hacia atrás hasta que los brazos estén extendidos, elige la dificultad con el ángulo del cuerpo o la tensión de la banda. Flexiona los codos para llevar las manos a los hombros y mantén el core activo. Baja controlando y mantén la alineación corporal.","[""Ajusta la dificultad fácilmente"",""Activa el core y mejora la coordinación"",""Muy adaptable para casa o gimnasio""]","[""Perder la alineación corporal"",""Usar los codos como remo en vez de curl"",""Elegir mal la resistencia o el ángulo""]","[""Asegura el anclaje antes de empezar"",""Mantén el core activado en todo momento"",""Progresa gradualmente eligiendo la resistencia o inclinación""]",funcional,Bíceps braquial,"[""Braquial"",""Braquiorradial"",""Músculos del antebrazo"",""Core""]","[""TRX"",""Bandas de resistencia""]","[""Principiante"",""Intermedio"",""Avanzado""]",media,hipertrofia,8,"[""gimnasio"",""casa"",""brazos"",""funcional""]","[""curl-kettlebell"",""curl-biceps-alternado"",""curl-biceps-simultaneo""]",https://vz-cddd003b-54d.b-cdn.net/26b45ac7-9bfe-4c48-b4af-23ed3e815f3d/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/26b45ac7-9bfe-4c48-b4af-23ed3e815f3d,https://vz-cddd003b-54d.b-cdn.net/26b45ac7-9bfe-4c48-b4af-23ed3e815f3d/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/26b45ac7-9bfe-4c48-b4af-23ed3e815f3d/preview.webp?v=1752882628,https://olympo.b-cdn.net/brazos/Curl-Trx-Bandas.mp4
curl-zottman,Curl tipo zottman,"De pie o sentado, sostiene una mancuerna en cada mano con las palmas hacia arriba. Eleva las mancuernas flexionando los codos y, en la parte superior, gira las muñecas para que las palmas miren hacia abajo y baja controladamente. La subida trabaja el bíceps y braquial, la bajada enfatiza el antebrazo. Es clave controlar el giro y el ritmo.","[""Trabaja varios músculos del brazo"",""Desarrolla fuerza y resistencia del antebrazo"",""Mejora la fuerza de agarre""]","[""Rotar las muñecas bruscamente"",""Usar impulso o balanceo"",""Separar los codos del torso""]","[""Utiliza un peso ligero"",""Controla la rotación de la muñeca"",""Mantén los codos cerca del torso""]",aislado,Bíceps braquial,"[""Braquial"",""Braquiorradial"",""Extensores de la muñeca"",""Flexores de la muñeca"",""Deltoides anterior""]","[""Mancuernas""]","[""Intermedio"",""Avanzado""]",media,hipertrofia,8,"[""gimnasio"",""brazos""]","[""curl-biceps-simultaneo"",""curl-biceps-alternado"",""curl-camarero""]",https://vz-cddd003b-54d.b-cdn.net/912dc8b4-0a4f-4e0c-9ed0-380e424dae8f/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/912dc8b4-0a4f-4e0c-9ed0-380e424dae8f,https://vz-cddd003b-54d.b-cdn.net/912dc8b4-0a4f-4e0c-9ed0-380e424dae8f/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/912dc8b4-0a4f-4e0c-9ed0-380e424dae8f/preview.webp?v=1752882684,https://olympo.b-cdn.net/brazos/Curl-Zottman.mp4
dominada-asistida,Dominadas asistidas en máquina multifuerza,"Ajusta el peso de asistencia en la máquina, apoya rodillas o pies en la plataforma. Sujeta la barra con agarre prono, supino o neutro. Sube controlando el movimiento hasta llevar la barbilla por encima de las manos, baja lentamente. Reduce la asistencia conforme ganas fuerza. Perfecta para progresar hasta la dominada libre.","[""Permite progresar hacia dominadas libres"",""Fácil variar el agarre"",""Ideal para aprender técnica de tracción"",""Aumenta volumen de trabajo""]","[""Usar demasiada asistencia"",""Bajar sin control"",""Rango de movimiento incompleto""]","[""Ajusta la máquina a tu nivel"",""Reduce asistencia progresivamente"",""Mantén técnica todo el tiempo""]",compuesto,Dorsal ancho,"[""Bíceps braquial"",""Braquial"",""Braquiorradial"",""Romboides"",""Trapecio medio e inferior"",""Deltoides posterior""]","[""Máquina de dominadas asistidas""]","[""Principiante"",""Intermedio""]",media,hipertrofia,7,"[""gimnasio"",""espalda"",""barra""]","[""dominada-prono"",""dominada-supino"",""dominada-neutra""]",https://vz-cddd003b-54d.b-cdn.net/7eba839a-68dd-489a-8d0b-4e75f8fcebb4/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/7eba839a-68dd-489a-8d0b-4e75f8fcebb4,https://vz-cddd003b-54d.b-cdn.net/7eba839a-68dd-489a-8d0b-4e75f8fcebb4/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/7eba839a-68dd-489a-8d0b-4e75f8fcebb4/preview.webp?v=1771994492,https://olympo.b-cdn.net/espalda/Dominada-Asistida.MOV
dominada-neutra,Dominadas con agarre neutro,"Cuelga de una barra con palmas hacia ti al ancho de los hombros. Sube hasta que la barbilla supere el nivel de las manos, sintiendo el trabajo de dorsal y bíceps. Baja controlado hasta estirar por completo los brazos. Variante muy amigable para las articulaciones.","[""Equilibrio entre dorsal y brazos"",""Agarre cómodo para muñeca y codo"",""Mejora fuerza de tracción"",""Peso corporal funcional""]","[""No completar el rango de movimiento"",""Balanceo excesivo"",""Codos abiertos""]","[""Asegura barra estable"",""Calienta bien hombros"",""Técnica estricta en todo el rango""]",compuesto,Dorsal ancho,"[""Bíceps braquial"",""Braquial"",""Braquiorradial"",""Romboides"",""Trapecio medio e inferior"",""Deltoides posterior"",""Redondo mayor"",""Core""]","[""Barra fija con agarres neutros""]","[""Intermedio"",""Avanzado""]",alta,hipertrofia,9,"[""gimnasio"",""barra"",""espalda"",""peso corporal""]","[""dominada-prono"",""dominada-supino"",""dominada-asistida""]",https://vz-cddd003b-54d.b-cdn.net/068ee2e9-97d8-4fb8-9f99-a49d2af6e321/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/068ee2e9-97d8-4fb8-9f99-a49d2af6e321,https://vz-cddd003b-54d.b-cdn.net/068ee2e9-97d8-4fb8-9f99-a49d2af6e321/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/068ee2e9-97d8-4fb8-9f99-a49d2af6e321/preview.webp?v=1752875422,https://olympo.b-cdn.net/espalda/Dominada-Neutra.mp4
dominada-prono,Pull-ups (Dominadas con agarre prono),"Cuelga de una barra fija con palmas hacia adelante, agarre ligeramente más ancho que los hombros. Sube llevando el pecho hacia la barra, enfocando el movimiento en el dorsal y retrayendo las escápulas. Baja de forma controlada hasta estirar por completo los brazos. Mantén el core activo y evita el impulso. Si es muy difícil, progresa con dominadas asistidas.","[""Desarrolla fuerza y masa en espalda y brazos"",""Mejora fuerza de agarre"",""Activa el core"",""Ejercicio funcional de peso corporal""]","[""No completar el rango de movimiento"",""Uso excesivo de impulso"",""Encoger los hombros""]","[""Calienta hombros y codos"",""Evita balanceo excesivo"",""Usa progresiones si es necesario""]",compuesto,Dorsal ancho,"[""Bíceps braquial"",""Braquial"",""Braquiorradial"",""Romboides"",""Trapecio medio e inferior"",""Deltoides posterior"",""Redondo mayor"",""Core""]","[""Barra fija""]","[""Intermedio"",""Avanzado""]",alta,hipertrofia,9,"[""gimnasio"",""barra"",""espalda"",""peso corporal""]","[""dominada-supino"",""dominada-neutra"",""dominada-asistida""]",https://vz-cddd003b-54d.b-cdn.net/f730275f-e55b-4b41-8c8a-95b32c1b179a/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/f730275f-e55b-4b41-8c8a-95b32c1b179a,https://vz-cddd003b-54d.b-cdn.net/f730275f-e55b-4b41-8c8a-95b32c1b179a/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/f730275f-e55b-4b41-8c8a-95b32c1b179a/preview.webp?v=1752875380,https://olympo.b-cdn.net/espalda/Dominada-Prono.mp4
dominada-supino,Chin-ups (Dominadas con agarre supino),"Cuelga de una barra fija con palmas hacia ti, manos al ancho de los hombros o algo más estrecho. Sube llevando la barbilla por encima de la barra, sintiendo el trabajo del dorsal y bíceps. Baja de forma controlada hasta estirar completamente los brazos. Mantén la espalda recta y core activo. Variante más amigable para bíceps.","[""Alta activación de dorsal y bíceps"",""Mejora fuerza de tracción"",""Fácil de progresar con lastre"",""Peso corporal funcional""]","[""No completar el rango de movimiento"",""Balanceo excesivo"",""Codos abiertos""]","[""Calienta codos y muñecas"",""Mantén técnica estricta"",""Evita cargas excesivas""]",compuesto,Dorsal ancho,"[""Bíceps braquial"",""Braquial"",""Braquiorradial"",""Romboides"",""Trapecio medio e inferior"",""Deltoides posterior"",""Redondo mayor"",""Core""]","[""Barra fija""]","[""Intermedio"",""Avanzado""]",alta,hipertrofia,10,"[""gimnasio"",""barra"",""espalda"",""peso corporal""]","[""dominada-prono"",""dominada-neutra"",""dominada-asistida""]",https://vz-cddd003b-54d.b-cdn.net/34e414f9-f00c-4285-afe3-128aca6a8a5b/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/34e414f9-f00c-4285-afe3-128aca6a8a5b,https://vz-cddd003b-54d.b-cdn.net/34e414f9-f00c-4285-afe3-128aca6a8a5b/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/34e414f9-f00c-4285-afe3-128aca6a8a5b/preview.webp?v=1752875492,https://olympo.b-cdn.net/espalda/Dominada-Supina.mp4
elevacion-lateral-pared-mancuerna,Elevación lateral de pie con mancuerna apoyado en pared,"Párate con la espalda y brazo libre apoyados contra la pared, sosteniendo una mancuerna en el brazo opuesto. Eleva la mancuerna lateralmente hasta la altura del hombro sin despegar el cuerpo de la pared. Esta variante reduce el uso del impulso y corrige la técnica al limitar el movimiento del torso.","[""Mejora la técnica al limitar el impulso"",""Aislamiento del deltoides lateral"",""Refuerza el control postural""]","[""Inclinar el torso"",""Elevar por encima de los hombros"",""Flexionar el codo más de lo necesario""]","[""Apoya firmemente el cuerpo"",""Utiliza una carga ligera a moderada"",""Evita girar la muñeca""]",aislado,Deltoides lateral,"[""Trapecio superior"",""Deltoides anterior""]","[""Mancuerna"",""Pared""]","[""Principiante"",""Intermedio""]",media,hipertrofia,7,"[""hombros"",""deltoides"",""mancuernas"",""aislado"",""pared""]","[""elevacion-lateral-pared-mancuerna"",""elevaciones-laterales-mancuernas"",""elevaciones-laterales-sentado-mancuernas""]",https://vz-cddd003b-54d.b-cdn.net/cc12b62b-d198-4eda-857b-97d42b4e4c5f/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/cc12b62b-d198-4eda-857b-97d42b4e4c5f,https://vz-cddd003b-54d.b-cdn.net/cc12b62b-d198-4eda-857b-97d42b4e4c5f/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/cc12b62b-d198-4eda-857b-97d42b4e4c5f/preview.webp?v=1752877079,https://olympo.b-cdn.net/hombros/Elevacion-Lateral-Pared-Mancuerna.mp4
elevacion-lateral-unilateral-polea,Elevación lateral unilateral con polea cerca del cuerpo,"Ubica la polea baja al nivel del tobillo. Colócate de lado a la polea, con los pies cercanos a ella. Sostén la máquina con la mano contraria para estabilizarte y aleja ligeramente el torso. Con el brazo externo, eleva el cable lateralmente hasta la altura del hombro. Este ángulo inclinado aumenta la activación del deltoides lateral desde el inicio del recorrido.","[""Activación constante del deltoides lateral"",""Mayor tensión en el rango inicial"",""Ideal para trabajo unilateral controlado""]","[""Despegarse de la máquina"",""Elevar el hombro en exceso"",""Flexionar demasiado el codo""]","[""Controla el peso en todo momento"",""Mantén una postura fija"",""Evita movimientos bruscos""]",aislado,Deltoides lateral,"[""Trapecio superior""]","[""Polea baja"",""Agarre simple""]","[""Intermedio"",""Avanzado""]",media,hipertrofia,8,"[""hombros"",""deltoides"",""polea"",""aislado"",""gimnasio""]","[""elevacion-lateral-unilateral-polea"",""elevaciones-laterales-mancuernas"",""elevaciones-laterales-sentado-mancuernas""]",https://vz-cddd003b-54d.b-cdn.net/0379bcf5-d5e6-4da5-a96c-95432872fd91/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/0379bcf5-d5e6-4da5-a96c-95432872fd91,https://vz-cddd003b-54d.b-cdn.net/0379bcf5-d5e6-4da5-a96c-95432872fd91/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/0379bcf5-d5e6-4da5-a96c-95432872fd91/preview.webp?v=1752876809,https://olympo.b-cdn.net/hombros/Elevaciones-Laterales-Unilateral-Polea.mp4
elevaciones-frontales-barra,Elevaciones frontales con barra,"De pie, pies al ancho de los hombros, sujeta la barra con ambas manos frente a los muslos. Eleva los brazos al frente hasta la altura de los hombros y baja controlado. Mantén ligera flexión de codos y evita el impulso. Permite trabajar con mayor peso.","[""Desarrolla deltoides anterior"",""Permite cargas más altas"",""Mejora fuerza de empuje frontal""]","[""Usar peso excesivo"",""Balancear el cuerpo"",""Bloquear codos o arquear la espalda""]","[""Empieza con barra ligera"",""Activa core para proteger zona lumbar"",""Evita el impulso""]",aislado,Deltoides anterior,"[""Pectoral superior"",""Trapecio superior"",""Deltoides lateral"",""Serrato anterior""]","[""Barra""]","[""Principiante"",""Intermedio""]",media,hipertrofia,7,"[""gimnasio"",""hombros"",""barra""]","[""elevaciones-frontales-barra"",""elevaciones-frontales-mancuernas"",""elevaciones-frontales-disco""]",https://vz-cddd003b-54d.b-cdn.net/492059ee-27d0-4c79-8d7d-1bd994778f6d/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/492059ee-27d0-4c79-8d7d-1bd994778f6d,https://vz-cddd003b-54d.b-cdn.net/492059ee-27d0-4c79-8d7d-1bd994778f6d/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/492059ee-27d0-4c79-8d7d-1bd994778f6d/preview.webp?v=1752876346,https://olympo.b-cdn.net/hombros/Elevaciones-Frontales-Barra.mp4
elevaciones-frontales-disco,Elevaciones frontales con disco,"De pie, sujeta un disco con ambas manos delante de los muslos. Eleva el disco al frente hasta la altura de los hombros y baja controlado. Mantén ligera flexión de codos, espalda recta y evita el impulso. Accesible y útil para pre-agotamiento.","[""Aíslan el deltoides anterior"",""Mejoran definición del hombro"",""Requieren poco equipo""]","[""Usar disco muy pesado"",""Balancear el torso"",""Extender o bloquear codos""]","[""Comienza con disco ligero"",""Mantén core activo"",""Evita elevar por encima del hombro""]",aislado,Deltoides anterior,"[""Deltoides lateral"",""Pectoral superior"",""Trapecio"",""Core""]","[""Disco de peso""]","[""Intermedio"",""Avanzado""]",media,hipertrofia,7,"[""gimnasio"",""hombros"",""discos"",""casa""]","[""elevaciones-frontales-disco"",""elevaciones-frontales-mancuernas"",""elevaciones-frontales-barra""]",https://vz-cddd003b-54d.b-cdn.net/8ca72935-40ab-4423-8aeb-853a4d2f08a8/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/8ca72935-40ab-4423-8aeb-853a4d2f08a8,https://vz-cddd003b-54d.b-cdn.net/8ca72935-40ab-4423-8aeb-853a4d2f08a8/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/8ca72935-40ab-4423-8aeb-853a4d2f08a8/preview.webp?v=1752876424,https://olympo.b-cdn.net/hombros/Elevaciones-Frontales-Disco.mp4
elevaciones-frontales-kettlebell,Elevaciones frontales con kettlebell,"De pie, pies al ancho de hombros, sujeta la kettlebell con ambas manos o una por vez. Eleva al frente hasta la altura de los hombros, manteniendo brazos casi rectos y core activo. No uses impulso y baja controlado. Gran reto de estabilización.","[""Desarrolla fuerza y estabilidad del hombro"",""Activa músculos estabilizadores de core"",""Corrige desequilibrios si es unilateral""]","[""Usar impulso o balanceo"",""Elevar por encima del hombro"",""Flexionar excesivamente codos""]","[""Mantén postura estricta"",""Elige peso adecuado"",""Evita si tienes molestias de hombro""]",aislado,Deltoides anterior,"[""Pectoral superior"",""Trapecio superior"",""Serrato anterior""]","[""Kettlebell""]","[""Principiante"",""Intermedio""]",media,hipertrofia,8,"[""gimnasio"",""hombros"",""kettlebell""]","[""elevaciones-frontales-kettlebell"",""elevaciones-frontales-mancuernas"",""elevaciones-frontales-disco""]",https://vz-cddd003b-54d.b-cdn.net/34027490-5516-4905-abf8-cf8ec987dbab/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/34027490-5516-4905-abf8-cf8ec987dbab,https://vz-cddd003b-54d.b-cdn.net/34027490-5516-4905-abf8-cf8ec987dbab/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/34027490-5516-4905-abf8-cf8ec987dbab/preview.webp?v=1752876395,https://olympo.b-cdn.net/hombros/Elevaciones-Frontales-Kettlebell.mp4
elevaciones-frontales-mancuernas,Elevaciones frontales con mancuernas,"De pie, pies al ancho de los hombros, sostén una mancuerna en cada mano. Eleva los brazos al frente, alterno o simultáneo, hasta la altura de los hombros, manteniendo ligera flexión de codos. Evita el impulso y controla el descenso. Permite corrección de desequilibrios y enfoque en el deltoides anterior.","[""Aíslan y desarrollan el deltoides anterior"",""Mejoran fuerza funcional de empuje"",""Permiten trabajo unilateral o bilateral""]","[""Usar demasiado peso"",""Balancear el cuerpo"",""Bloquear los codos al subir""]","[""Calienta hombros antes de iniciar"",""Empieza con peso bajo para dominar técnica"",""Activa core y evita el impulso""]",aislado,Deltoides anterior,"[""Deltoides lateral"",""Pectoral mayor"",""Trapecio superior"",""Serrato anterior"",""Bíceps braquial""]","[""Mancuernas""]","[""Principiante"",""Intermedio""]",media,hipertrofia,8,"[""gimnasio"",""hombros"",""casa"",""mancuernas""]","[""elevaciones-frontales-mancuernas"",""elevaciones-frontales-barra"",""elevaciones-frontales-disco""]",https://vz-cddd003b-54d.b-cdn.net/4ad52b26-ee2c-4b60-a9df-4fff137413b3/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/4ad52b26-ee2c-4b60-a9df-4fff137413b3,https://vz-cddd003b-54d.b-cdn.net/4ad52b26-ee2c-4b60-a9df-4fff137413b3/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/4ad52b26-ee2c-4b60-a9df-4fff137413b3/preview.webp?v=1752876458,https://olympo.b-cdn.net/hombros/Elevaciones-Frontales-Mancuernas.mp4
elevaciones-frontales-polea,Elevaciones frontales en polea baja,"De pie de espaldas a la polea baja, sujeta el mango con una o ambas manos. Eleva el brazo al frente hasta la altura del hombro, manteniendo control y sin impulso. Tensión constante durante todo el rango de movimiento.","[""Tensión constante en todo el rango"",""Aíslan deltoides anterior"",""Permiten trabajo unilateral""]","[""Usar demasiado peso"",""Flexionar excesivamente codos"",""No controlar la bajada""]","[""Asegura el ajuste de la polea y mango"",""Mantén postura estable"",""Evita arqueo de espalda""]",aislado,Deltoides anterior,"[""Pectoral superior"",""Serrato anterior"",""Trapecio"",""Deltoides lateral""]","[""Polea baja"",""Mango""]","[""Principiante"",""Intermedio""]",media,hipertrofia,8,"[""gimnasio"",""hombros"",""polea""]","[""elevaciones-frontales-polea"",""elevaciones-frontales-mancuernas"",""elevaciones-frontales-barra""]",https://vz-cddd003b-54d.b-cdn.net/8b40d8d3-da2e-4915-9129-9828a2dc089c/playlist.m3u8,https://iframe.mediadelivery.net/play/458976/8b40d8d3-da2e-4915-9129-9828a2dc089c,https://vz-cddd003b-54d.b-cdn.net/8b40d8d3-da2e-4915-9129-9828a2dc089c/thumbnail.jpg,https://vz-cddd003b-54d.b-cdn.net/8b40d8d3-da2e-4915-9129-9828a2dc089c/preview.webp?v=1752876497,https://olympo.b-cdn.net/hombros/Elevaciones-Frontales-Polea.mp4
